timestamp, hostName, cpuDemand, cpuUsage, cpuUtilization, cpuIdleTime, energyUsage
1920, host-2, 76440.0, 76440.0, 0.8, 0.4875, 621, 147.5
1920, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
1980, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
1980, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 205.0
1980, host-2, 70560.0, 70560.0, 0.8, 0.45, 958, 140.0
1980, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
2040, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
2040, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 205.0
2040, host-2, 66640.0, 66640.0, 0.8, 0.425, 669, 135.0
2040, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
2100, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
2100, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 205.0
2100, host-2, 66640.0, 66640.0, 0.0, 0.425, 0, 135.0
2100, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
2160, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
2160, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 205.0
2160, host-2, 64680.0, 64680.0, 0.8, 0.4125, 360, 132.5
2160, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
2220, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
2220, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 205.0
2220, host-2, 62720.0, 62720.0, 0.8, 0.4, 371, 130.0
2220, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
2280, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
2280, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 205.0
2280, host-2, 58800.0, 58800.0, 0.8, 0.375, 770, 125.0
2280, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
2340, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
2340, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 205.0
2340, host-2, 56840.0, 56840.0, 0.8, 0.3625, 389, 122.5
2340, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
2400, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
2400, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 205.0
2400, host-2, 52920.0, 52920.0, 0.8, 0.3375, 818, 117.5
2400, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
2460, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
2460, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 205.0
2460, host-2, 49000.0, 49000.0, 0.8, 0.3125, 834, 112.5
2460, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
2520, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
2520, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 205.0
2520, host-2, 45080.0, 45080.0, 0.8, 0.2875, 867, 107.5
